question,answer,source
<@UGZ7TLBBJ> has joined the channel,<@UGZ7TLBBJ> has joined the channel,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> うん、あれでいいよー,<@U0RR5KY90> うん、あれでいいよー,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 3月から福山さんがDIDに異動するのに合わせて、Anaplan導入のOKRを一つ追加しようと思ってます。Anaplanスケジュールを確認してもらっていると思いますが、①人件費モデル、②共通費配賦、それぞれでKRを置きたく、3末時点で置くマイルストンの検討をお願いできますか？,<@U02LMETN883> 3月から福山さんがDIDに異動するのに合わせて、Anaplan導入のOKRを一つ追加しようと思ってます。Anaplanスケジュールを確認してもらっていると思いますが、①人件費モデル、②共通費配賦、それぞれでKRを置きたく、3末時点で置くマイルストンの検討をお願いできますか？,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> 単価テーブルそのものはまだ見つけてない。あとMRRをブレイクダウンしてユーザーと紐づけるなら、ユーザーの課金ヒストリーに単価データをJoinするというよりも、daily_users_planにJoinするのがいいんじゃない？,<@U0RR5KY90> 単価テーブルそのものはまだ見つけてない。あとMRRをブレイクダウンしてユーザーと紐づけるなら、ユーザーの課金ヒストリーに単価データをJoinするというよりも、daily_users_planにJoinするのがいいんじゃない？,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> MTG続きで動けてないから、夜にやるー,<@U0RR5KY90> MTG続きで動けてないから、夜にやるー,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> あれ、チェックインを投稿したはずなんだけど、チャネルに投稿されない,<@U0RR5KY90> あれ、チェックインを投稿したはずなんだけど、チャネルに投稿されない,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> いや、まったく,<@U0RR5KY90> いや、まったく,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> 銀座ついた,<@U0RR5KY90> <@U02LMETN883> 銀座ついた,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> P31にチームの価値観の1stドラフト（叩き台の叩き台）書きました。これをもとにそれぞれ2stドラフト（叩き台）を来週のチーム定例までに作ってもらって、その後に僕のほうで最終案をFixするのがいいのでは。 <https://docs.google.com/presentation/d/1OcCgfQzb1eCulkGf4ek1RbrVF2-Brrm3PfbaW987uAM/edit#slide=id.g117d7faff68_0_0>  ■DIDのビジョン（1stドラフト） ```■目的/未来のイメージ  共通言語を広げて、探索的事業開発のベクトルを揃える  ■価値観 ・心身が健康であれば、他のものはすべて後からついてくる。 ・誠実な対話と相互理解により、共通言語を増やす。 ・当たり前のように常識の枠を外れる。 ・細部までやり切る。```,<@U0RR5KY90> <@U02LMETN883> P31にチームの価値観の1stドラフト（叩き台の叩き台）書きました。これをもとにそれぞれ2stドラフト（叩き台）を来週のチーム定例までに作ってもらって、その後に僕のほうで最終案をFixするのがいいのでは。 <https://docs.google.com/presentation/d/1OcCgfQzb1eCulkGf4ek1RbrVF2-Brrm3PfbaW987uAM/edit#slide=id.g117d7faff68_0_0>  ■DIDのビジョン（1stドラフト） ```■目的/未来のイメージ  共通言語を広げて、探索的事業開発のベクトルを揃える  ■価値観 ・心身が健康であれば、他のものはすべて後からついてくる。 ・誠実な対話と相互理解により、共通言語を増やす。 ・当たり前のように常識の枠を外れる。 ・細部までやり切る。```,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> マーケモデル・KPIモニタリング系の情報はここにまとめます。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.gdbc7416d8f_2_442>,<@U0RR5KY90> <@U02LMETN883> マーケモデル・KPIモニタリング系の情報はここにまとめます。 <https://docs.google.com/presentation/d/1BYnM6ISXrN453IhW8KzSAzicGQCeLQtqa2JJlAGBzqQ/edit#slide=id.gdbc7416d8f_2_442>,Slack #corp-it-engineering-data-enablement
そうか、NPは中間FBがあるのか,そうか、NPは中間FBがあるのか,Slack #corp-it-engineering-data-enablement
デジタルホルンのところは、本来であれば先方から自発的に実装標準化の提案を出してもらい、こちらが業務要件を伝える形にしたかったですね。システム観点での提案はきちんと出してもらうように明日のMTGで依頼してもらえますか。,デジタルホルンのところは、本来であれば先方から自発的に実装標準化の提案を出してもらい、こちらが業務要件を伝える形にしたかったですね。システム観点での提案はきちんと出してもらうように明日のMTGで依頼してもらえますか。,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> Anaplan分のOKR追加について、以下でどうでしょう？  O2. 最高のPlanning Platformを構築する KR1. 人員計画のUI・MOCを作成する（採用枠含む） KR2. 人員計画の業務プロセス設計を完了する（採用枠含む） KR3. 財務予実管理のアウトプットイメージと世界観を合意する ※効率的に多様な観点でチェックするために、CMD、Recruiting、Edge、NPをカウンターパートとする。,<@U02LMETN883> Anaplan分のOKR追加について、以下でどうでしょう？  O2. 最高のPlanning Platformを構築する KR1. 人員計画のUI・MOCを作成する（採用枠含む） KR2. 人員計画の業務プロセス設計を完了する（採用枠含む） KR3. 財務予実管理のアウトプットイメージと世界観を合意する ※効率的に多様な観点でチェックするために、CMD、Recruiting、Edge、NPをカウンターパートとする。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> 明日のチーム定例のアジェンダに「チームOKR変更」を追加してもらえる？定例資料のP7には追加済み。あとビジョンについての資料もP8以降に追加済み。,<@U0RR5KY90> 明日のチーム定例のアジェンダに「チームOKR変更」を追加してもらえる？定例資料のP7には追加済み。あとビジョンについての資料もP8以降に追加済み。,Slack #corp-it-engineering-data-enablement
